2026-05-10,Arreglo reloj,Arreglo reloj,Arreglo reloj,0,2000,2000
2026-05-29,recarga,recarga,recarga,23000,23500,500
2026-05-29,recarga,recarga,recarga,23000,23500,500
2026-05-29,redmi,redmi,redmi,10000,20000,10000
2026-05-29,oppo a79,oppo a79,oppo a79,90000,130000,40000
2026-05-30,recarga,recarga,recarga,5000,5500,500
2026-05-31,recarga,recarga,recarga,15000,15500,500
2026-05-31,pegar pantalla,pegar pantalla,pegar pantalla,10000,20000,10000
2026-05-31,recarga,recarga,recarga,2500,3000,500
2026-05-31,recarga,recarga,recarga,20000,20500,500
2026-05-31,recarga,recarga,recarga,2000,2500,500
2026-05-31,bafle,bafle,bafle,20000,40000,20000
2026-05-31,recarga,recarga,recarga,15000,15500,500
2026-05-31,Pin de carga,Pin de carga,Pin de carga,20000,40000,20000
2026-05-31,Pipa goma,Pipa goma,Pipa goma,3500,8000,4500
2026-05-31,Separado Gorra,Separado Gorra,Separado Gorra,10000,20000,10000
2026-05-31,recarga,recarga,recarga,3000,3500,500
2026-05-31,recarga,recarga,recarga,9000,9500,500
2026-05-31,recarga,recarga,recarga,9000,9500,500
2026-05-31,recarga,recarga,recarga,5000,5500,500
2026-06-01,recarga,recarga,recarga,5000,5500,500
2026-06-01,moto g20,moto g20,moto g20,85000,120000,35000
2026-06-01,redmi display,redmi display,redmi display,85000,130000,45000
2026-06-02,1,1,linterna,12000,24000,12000
2026-06-03,1,1,display,75000,100000,25000
2026-06-03,recarga,recarga,recarga,5000,5500,500
2026-06-05,mototrola,mototrola,mototrola,40000,60000,20000
2026-06-05,honor x5d,honor x5d,honor x5d,20000,40000,20000
2026-06-08,1,1,2 pilas c2032,3000,8000,5000
2026-06-08,1,1,2 pilas c2032,3000,8000,5000
2026-06-08,1,1,display oppo a79,120000,150000,30000
2026-06-09,1,1,puerto de carga,20000,40000,20000
2026-06-10,1,1,desbloqueo google,20000,40000,20000
2026-06-11,1,1,display,85000,120000,35000
2026-06-14,1,1,paramount,14000,14000,0
2026-06-14,1,1,vaper viral,9000,22000,13000
2026-06-15,Abono Display,Abono Display,Abono Display,50000,50000,0
2026-06-16,1,2,display restante,35000,70000,35000
2026-06-16,1,1,display,95000,130000,35000
2026-06-17,abono de camisa de colombia,abono de camisa de colombia,abono de camisa de colombia,0,10000,10000
2026-06-17,Abono 3 camisetas ,Abono 3 camisetas ,Abono 3 camisetas,120000,10000,-110000
2026-06-18,1,1,abono desbloqueo celular,100000,100000,0
2026-06-18,1,1,pipa de vidrio,2000,8000,6000
2026-06-19,1,1,restante debloqueo,20000,50000,30000
2026-06-19,1,1,pueto de carga,20000,40000,20000
2026-06-19,1,1,traspaso de informacion,0,15000,15000
2026-06-19,1,1,arreglo puerto de carga,25000,45000,20000
2026-06-20,1,1,bateria original,60000,80000,20000
2026-06-20,Descargo musica,Descargo musica,Descargo musica,0,5000,5000
2026-06-20,Arreglo sonido,Arreglo sonido,Arreglo sonido,0,900,900
2026-06-20,Reloj,Reloj,Reloj,20000,45000,25000
2026-06-20,1,1,display,85000,120000,35000
2026-06-20,1,1,pantaloneta,25000,48900,23900
2026-06-22,TRASPASO DE INFORMACION,TRASPASO DE INFORMACION,TRASPASO DE INFORMACION,10000,20000,10000
2026-06-22,SAMSUNG A55,SAMSUNG A55,SAMSUNG A55,85000,120000,35000
2026-06-23,1,1,camisa de colombia,37000,53500,16500
2026-06-23,spotify,spotify,spotify,15000,15000,0
2026-06-23,crunchyroll,crunchyroll,crunchyroll,9000,9000,0
2026-06-23,crunchyroll,crunchyroll,crunchyroll,9000,9000,0
2026-06-23,1,1,restante display a55,95000,130000,35000
2026-06-23,1,1,camiseta de colombia,37000,55000,18000
2026-06-24,1,1,camisa de colombia,37000,55000,18000
2026-06-25,RECARGA,RECARGA,RECARGA,25000,25500,500
2026-06-26,amazon,amazon,amazon,6000,12000,6000
2026-06-26,virus,virus,virus,20000,40000,20000
2026-06-27,1,1,camisa de colombia,37000,55000,18000
2026-06-27,1,1,camisa de colombia blanca,68000,99000,31000
2026-06-27,1,1,camiseta de colombia,37000,55000,18000
2026-06-27,1,1,cliper,2500,6500,4000
2026-06-27,1,1,gorra undergold,25000,50000,25000
2026-06-27,1,1,esencia chillax,10000,25000,15000
2026-06-27,1,1,vaper hulk,12000,25000,13000
2026-06-28,1,1,bateria motorola,30000,80000,50000
2026-06-28,1,1,camiseta de colombia retro,38000,72000,34000
2026-06-29,1,1,secado de celular a35,30000,50000,20000
2026-06-29,1,1,recarga,20000,20500,500
2026-06-29,11,1,recarga,2500,3000,500
2026-06-29,1,1,recarga,6000,6500,500
2026-07-01,1,1,CABEZA REDMI,15000,30000,15000
2026-07-02,1,1,display,80000,110000,30000
2026-07-02,1,1,abono display a20,50000,50000,0
2026-07-02,1,1,abono - separado de mochitos,20000,20000,0
2026-07-03,caseta blessed,caseta blessed,caseta blessed,38000,65000,27000
2026-07-03,colombia beihs,colombia beihs,colombia beihs,70000,109500,39500
2026-07-03,colombia bordada,colombia bordada,colombia bordada,38000,50000,12000
2026-07-04,honor display,honor display,honor display,85000,120000,35000
2026-07-05,Recargas,Recargas,Recargas,2500,3000,500
2026-07-05,Recarga,Recarga,Recarga,6000,6500,500
2026-07-06,1,1,abono desbloqueo de pay joy,100000,100000,0
2026-07-07,1,1,camisa de colombia bordada,37000,55000,18000
2026-07-07,1,1,pegada,0,10000,10000
2026-07-07,Recarga,Recarga,Recarga,8000,8500,500
2026-07-08,Pin de carga VIVO,Pin de carga VIVO,Pin de carga VIVO,20000,40000,20000
2026-07-09,Restante Tecno,Restante Tecno,Restante Tecno,25000,100000,75000
2026-07-10,1,1,display moto,90000,130000,40000
2026-07-10,11,1,puerto,20000,30000,10000
2026-07-10,1,1,boton,30000,40000,10000
2026-07-14,1,1,abono de conjunto,0,50000,50000
2026-07-16,buzo gamuza,buzo gamuza,buzo gamuza,55000,120000,65000
2026-07-17,sansung display,sansung display,sansung display,85000,110000,25000
2026-07-18,1,1,display samsung,90000,100000,10000
2026-07-19,1,1,desbloqueo google,25000,50000,25000
2026-07-19,1,1,abono display,60000,60000,0
2026-07-19,1,1,bateria de iphone,220000,250000,30000
2026-07-20,1,1,restante del display,0,60000,60000
2026-07-21,1,1,display g04s,77000,120000,43000
2026-07-21,1,1,lost mary,8000,20000,12000
2026-07-22,Camisetas colombia,Camisetas colombia,Camisetas colombia,120000,200000,80000
2026-07-22,Camisetas colombia,Camisetas colombia,Camisetas colombia,120000,200000,80000
2026-07-24,plataformas ,plataformas ,plataformas,50000,50000,0
2026-07-26,arreglo,arreglo,arreglo,2500,5000,2500
2026-07-27,formatiadea,formatiadea,formatiadea,15000,40000,25000
2026-07-27,galaxi a71,galaxi a71,galaxi a71,70000,110000,40000
2026-07-27,huawei y9,huawei y9,huawei y9,75000,120000,45000
2026-07-28,1,1,airpods 3 generacion,40000,87300,47300
2026-07-29,1,1,restante buzo,0,36000,36000
2026-07-29,1,1,abono puerto de carga,0,30000,30000
2026-07-29,1,1,restante puerto de carga,30000,30000,0
2026-07-30,1,1,lost mary grande,8000,22000,14000
2026-07-31,1,1,lost mary grande,8000,22000,14000
2026-08-01,1,1,lost mary grande,8000,22000,14000
2026-08-02,1,1,lost mary grande,8000,22000,14000
2026-08-02,1,1,vaper pop,22000,38000,16000
2026-08-02,1,1,sistecredito,31000,31000,0
2026-08-03,1,1,display x8b,65000,120000,55000
2026-08-03,1,1,pegada,0,10000,10000
2026-08-04,arreglo,arreglo,arreglo,5000,10000,5000
2026-08-08,1,1,solo bar 35k,25000,45000,20000
2026-08-09,1,1,actualizacion whatssap,0,3000,3000
2026-08-09,1,1,musica,0,2000,2000
2026-08-14,Abono display,Abono display,Abono display,50000,50000,0
2026-08-14,Protector cargador,Protector cargador,Protector cargador,18000,12000,-6000
2026-08-14,Humedad Samsung A55,Humedad Samsung A55,Humedad Samsung A55,40000,70000,30000
2026-08-14,Recarga,Recarga,Recarga,25000,25500,500
2026-08-15,Restante vaper,Restante vaper,Restante vaper,16000,16000,0
2026-08-15,Sistecredito cuota,Sistecredito cuota,Sistecredito cuota,48000,88000,40000
2026-08-15,Pegada pantalla,Pegada pantalla,Pegada pantalla,1000,10000,9000
2026-08-16,VIRUS,VIRUS,VIRUS,0,20000,20000
2026-08-16,Siste,Siste,Siste,41200,41200,0
2026-08-16,Virus,Virus,Virus,0,20000,20000
2026-08-16,Recarga,Recarga,Recarga,10000,10500,500
2026-08-16,Recarga,Recarga,Recarga,16000,20500,4500
2026-08-16,Recarga,Recarga,Recarga,10000,10500,500
2026-08-18,Bateria Moto E7 Plus,Bateria Moto E7 Plus,Bateria Moto E7 Plus,50000,80000,30000
2026-08-18,Display Motorola G06,Display Motorola G06,Display Motorola G06,72000,80000,8000
2026-08-18,Bolso cojo,Bolso cojo,Bolso cojo,10000,10000,0
2026-08-19,Sonido ,Sonido ,Sonido,0,4000,4000
2026-08-19,Virus,Virus,Virus,0,20000,20000
2026-08-20,Sims,Sims,Sims,290000,290000,0
2026-08-20,Arreglo Display Samsung A53,Arreglo Display Samsung A53,Arreglo Display Samsung A53,90000,130000,40000
2026-08-21,alvaro perez,tecno camon 19 neo,cambio de pin de carga,50000,50000,0
2026-08-21,diana cadavid,redmi note 9,artreglo de bateria,85000,85000,0
2026-08-22,Cable 5.1,Cable 5.1,Cable 5.1,5500,15000,9500
2026-08-22,Dispensador de lociones ,Dispensador de lociones ,Dispensador de lociones,5000,15000,10000
2026-08-22,Cargador 25w,Cargador 25w,Cargador 25w,10000,24000,14000
2026-08-23,Siste,Siste,Siste,138400,138400,0
2026-08-25,Pegada pantalla,Pegada pantalla,Pegada pantalla,2000,15000,13000
2026-08-25,DisneyPlus,DisneyPlus,DisneyPlus,15000,15000,0
2026-08-26,Abono bolso,Abono bolso,Abono bolso,20000,20000,0
2026-08-26,Display motorola g30,Display motorola g30,Display motorola g30,65000,110000,45000
2026-08-26,Restante Display Motorola One Macro,Restante Display Motorola One Macro,Restante Display Motorola One Macro,70000,70000,0
2026-08-26,Recuperacion de cuenta,Recuperacion de cuenta,Recuperacion de cuenta,0,5000,5000
