id,nombre,costo,precio,stock,proveedor
GO-35,Gorra Milwaukee,28000,48000,1,Caps Store
GO-36,Gorra Georgia Bulldog,27000,50000,1,Caps Store
GO-37,Gorra Texas Rangers,27000,50000,2,Caps Store
GO-38,Gorra Minnesota,27000,48000,1,Caps Store
GO-39,Gorra Athletics,27000,48000,2,Caps Store
GO-40,Gorra Vancouver Grizlie,27000,48000,2,Caps Store
GO-41,Gorra Mariners tubular,34000,60000,1,Caps Store
GO-42,Gorra Mariners tubular,27000,48000,3,Caps Store
GO-43,Gorra Sidewinders,27000,48000,1,Caps Store
GO-44,Gorra Hoyas Navy,27000,48000,1,Caps Store
GO-45,Gorra Oregon,27000,50000,1,Caps Store
GO-46,Gorra Zephyr,27000,50000,1,Caps Store
GO-47,Gorra Padres San Diego,27000,50000,1,Caps Store
GO-48,Gorra Arizona,27000,48000,2,Caps Store
GO-49,Gorra Dodgers,27000,50000,1,Caps Store
GO-50,Gorra Dsquared,27000,50000,5,Caps Store
GO-51,Gorra Adidas,27000,50000,2,Caps Store
GO-52,Gorra Carolina Herrera,27000,50000,1,Caps Store
GO-53,Gorra Cristian Dior,27000,50000,2,Caps Store
GO-54,Gorra Coach Gruesa,32000,55000,2,Caps Store
GO-55,Gorra Coach normal,27000,50000,6,Caps Store
GO-56,Gorra Fendi,27000,50000,4,Caps Store
GO-57,Gorra amiri,27000,50000,3,Caps Store
GO-58,Gorra Dolce Gabbana,27000,50000,1,Caps Store
GO-59,Gorra Gucci,27000,50000,3,Caps Store
GO-60,Gorra Cincinnati,27000,50000,2,Caps Store
GO-61,Gorra Psycho Bunny,27000,50000,2,Caps Store
GO-62,Gorra Puma,27000,50000,2,Caps Store
GO-63,Gorra Full Caos,20000,40000,1,Caps Store
GO-64,Gorra Quiksilver,27000,50000,1,Caps Store
GO-65,Gorra Valentino,27000,50000,1,Caps Store
GO-66,Gorra Balenciaga,25000,45000,2,Caps Store
GO-67,Gorra Burberry,27000,50000,2,Caps Store
GO-68,Gorra horners,27000,48000,1,Caps Store
GO-69,Gorra royal enfield,27000,48000,1,Caps Store
GO-70,Gorra rancing,30000,55000,2,Caps Store
GO-71,Gorra Hermes,30000,55000,3,Caps Store
GO-72,Gorra bass pro shops,27000,50000,2,Caps Store
GO-73,Gorra salty,27000,48000,7,Caps Store
GO-74,Gorra antrax,27000,48000,1,Caps Store
GO-75,Gorra barrow,27000,50000,3,Caps Store
GO-76,Gorra Houston tubular,30000,60000,1,Caps Store
GO-77,Gorra Cristiana,27000,55000,1,Caps Store
GO-78,Gorra monastery,27000,50000,9,Caps Store
GO-79,Gorra westcol,27000,55000,5,Caps Store
GO-80,Gorra blessed,28000,55000,1,Caps Store
GO-81,Gorra clemont,27000,50000,5,Caps Store
GO-82,Gorra Hugo BOSS,27000,50000,13,Caps Store
GO-83,Gorra Hugo BOSS AA,30000,55000,1,Caps Store
GO-84,Gorra Nike llama 🔥,30000,55000,4,Caps Store
GO-85,Gorra la coste,27000,50000,2,Caps Store
GO-86,Gorra de Colombia básica,20000,32000,2,Caps Store
GO-87,Gorra champions,27000,50000,2,Caps Store
VA,Vidrio TB iPhone 16 PM,25000,48000,6,Nulo
FA-1,Forro iPhone 16 PM,12000,28000,5,Nulo
FA-2,Forro iPhone 16 PM,17000,30000,5,Nulo
FA-3,Forro iPhone 16 PM,7500,20000,3,Nulo
FA-4,Forro iPhone 16 PM,8500,20000,3,Nulo
FA-5,Forro iPhone 16 PM,12000,25000,6,Nulo
FA-6,Forro iPhone 16 PM,17000,32000,4,Nulo
FA-7,Forro iPhone 16 PM,15000,30000,2,Nulo
FA-8,Forro iPhone 16 PM,10000,25000,2,Nulo
FA-9,Forro iPhone 16 Pro,18000,30000,4,Nulo
FA-10,Forro iPhone 16 Pro,12000,28000,6,Nulo
FA-11,Forro iPhone 16 Pro,17000,32000,3,Nulo
FA-12,Forro iPhone 16 Pro,14000,28000,2,Nulo
FA-13,Forro iPhone 16 Pro,10000,25000,3,Nulo
FA-14,Forro iPhone 16 Pro,8500,20000,2,Nulo
FA-15,Forro iPhone 16 Pro,7500,20000,3,Nulo
FA-16,Forro iPhone 16,15000,30000,5,Nulo
FA-17,Forro iPhone 16,17000,30000,5,Nulo
FA-18,Forro iPhone 16,8500,20000,2,Nulo
FA-19,Forro iPhone 16,7500,20000,3,Nulo
FA-20,Forro iPhone 16,12000,25000,6,Nulo
FA-21,Forro iPhone 16 PM Silicona,5500,15000,16,Nulo
FA-22,Forro iPhone 16 Pro Silicona,5500,15000,17,Nulo
FA-23,Forro iPhone 16 Silicona,5500,15000,12,Nulo
FA-24,Forro iPhone 15 Silicona,5500,15000,14,Nulo
FA-25,Forro iPhone 15 Pro Silicona,5500,15000,19,Nulo
FA-26,Forro iPhone 15 Pro Max Silicona,5500,15000,14,Nulo
FA-27,Forro iPhone 13/14 Silicona,5500,15000,13,Nulo
FA-28,Forro iPhone 14 Pro Silicona,5500,15000,16,Nulo
FA-29,Forro iPhone 14 Pro Max Silicona,5500,15000,22,Nulo
FA-30,Forro iPhone 13 Pro Silicona,5500,15000,12,Nulo
FA-31,Forro iPhone 13 Pro Max Silicona,5500,15000,8,Nulo
FA-32,Forro iPhone 13 Mini Silicona,5500,15000,7,Nulo
FA-33,Forro iPhone 12 Pro Silicona,5500,15000,16,Nulo
FA-34,Forro iPhone 12 Pro Max Silicona,5500,15000,0,Nulo
FA-35,Forro iPhone XR Silicona,5500,15000,7,Nulo
FA-36,Forro iPhone XS Max Silicona,5500,15000,13,Nulo
FA-37,Forro iPhone 11 Silicona,5500,15000,15,Nulo
FA-38,Forro iPhone 11 Pro Silicona,5500,15000,22,Nulo
MG-01,Magic Seco,2800,6000,62,Leonardo
VP-01,Vaper Priv Bar,14000,25000,7,Juan Felipe
VP-02,Vaper Spaceman,15000,30000,4,Juan Felipe
VP-03,Vaper Snoopy Smoke,14000,28000,8,Juan Felipe
VP-04,Vaper Ease Clear,10000,20000,2,Juan Felipe
VP-05,Vaper Death Row,9000,20000,1,Juan Felipe
VP-06,Vaper Archer,13000,25000,6,Juan Felipe
VP-07,Vaper Lost Mary Pequeño,7000,22000,6,Juan Felipe
VP-08,Vaper Lost Mary Grande,8000,22000,7,Juan Felipe
VP-09,Mizzle 9000,9000,22000,1,Juan Felipe
VP-10,South Connect,30000,60000,2,Juan Felipe
LN-01,Pure Explosive ,30000,55000,0,Yeison la mina 
LN-02,Victorius ,30000,55000,1,Yeison la mina 
LN-03,White only ,30000,55000,1,Yeison la mina 
LN-04,2y2 vp red ,30000,55000,1,Yeison la mina 
LN-05,Out black ,30000,55000,1,Yeison la mina 
LN-06,Night life ,30000,55000,1,Yeison la mina 
LN-07,Fantastic ,30000,55000,1,Yeison la mina 
LN-08,Candy ,30000,55000,1,Yeison la mina 
LN-09,Felina ,30000,55000,0,Yeison la mina 
LN-10,Amethists ,30000,55000,1,Yeison la mina 
LN-11,2y2 vp rose ,30000,55000,1,Yeison la mina 
LN-12,Sweet air ,30000,55000,1,Yeison la mina 
LNE-01,Hugreen ,20000,40000,1,Yeison la mina  
LNE-02,Intus ,20000,40000,1,Yeison la mina  
LNE-03,Millenium ,20000,40000,1,Yeison la mina  
LNE-04,Sos red ,20000,40000,1,Yeison la mina  
LNE-05,Sos distintive ,20000,40000,1,Yeison la mina  
LNE-06,Am Red Rosse ,20000,40000,1,Yeison la mina  
LNE-07,Kan cun ,20000,40000,1,Yeison la mina  
LNE-08,Lady Crystall ,20000,40000,2,Yeison la mina  
CMS-01,Seulement, 30000,49000,1,zona chic
CMF-01,Faze III, 40000,69000,1,zona chic
CMB-01,Blessed, 35000,59000,1,zona chic
CMC-01,Company, 40000,69000,1,zona chic
CMB-02,Blessed, 35000,60000,1,zona chic
CMK-01,Kllejeros,35000,65000,1,zona chic
CMK-02,Kllejeros,30000,59000,1,zona chic
CG-01, Classic, 13000,22000,5,zona chic
CDC-01, Correa de cuero,15000,25000,5,zona chic
PR-01, Piernero,16000,35000,2,zona chic
CR-01,Carriel,25000,40000,1,zona chic 
BA-01,Bolso amelie blanco,30000,58000,1,zona chic 
BD-01,Bolso denis azul,55000,95000,1,zona chic
CRD-01,Carriel dama,22000,45000,11,zona chic 
BH-01,Billetera hombre economica,15000,25000,9,zona chic
BH-02,Billetera hombre,35000,60000,4,nulo
BH-03,Billetera dama economica,15000,22000,5,zona chic
BH-04,Billetera dama moschino,28000,50000,1,nulo
BH-05,Billetera dama CH,35000,60000,1,nulo
RJ-01,Reloj de lujo economico,35000,60000,15,nulo
RJ-02,Reloj de lujo, 40000,70000,10,nulo
RJ-03,Reloj rolex,45000,80000,1,nulo
RJ-04,Reloj caro,60000,100000,3,nulo
RJ-05,Reloj sport de lujo,40000,70000,5,nulo
RJ-06,Reloj de caja rolex,40000,70000,1,nulo
RJ-07,Reloj saint,36000,65000,3,nulo
RJ-08,Reloj max antiagua,30000,55000,1,nulo
RJ-09,Reloj santy antiagua,16000,30000,3,Nulo
RJ-10,Reloj economico,12000,22000,5,nulo
RJ-11,Reloj antiagua sport,20000,50000,12,nulo
BLN-01,Blones,1800,4000,44,nulo
CR-01,Cueros raro,4500,10000,20,nulo
CR-02,Cueros OCB,1500,4000,49,nulo
CR-03,Cueros Fumanchu,3600,8000,24,nulo
CR-04,Cueros smocking,660,2000,49,nulo
RC-01,Rasca 3 pisos,3500,9000,6,nulo
RC-02,Rasca 1 piso,2300,6000,11,nulo
FL-01,Filtro pluma roja,600,2000,46,nulo
PP-01,Pipa de madera,700,2500,10,nulo
PP-02,Pipa de vidrio pequeña,1000,3000,4,nulo
PP-03,Pipa de vidrio grande,2000,6000,2,nulo
CHR-01,Cucharita🌬 grande,1500,5000,7,nulo
CHR-02,Cucharita🌬 pequeña,1000,2000,2,nulo
BS-01,Bolsa de exotica pequeña,700,1500,10,nulo
BS-02,Bolsa de exotica grande,1000,2500,20,nulo
AC-01,Armador de cigarros,3000,6000,4,nulo
GR-01,Gramera,9500,15000,6,nulo
BR-01,Banda de radio,15000,25000,2,Nulo
CB-01,Cable 3 en 1,8000,20000,10,nulo
CCV-01,Cargador cigarrero tipo C-USB,14000,28000,2,volt pro
CCV-02,Cargador cigarrero tipo USB-USB,6000,14000,6,volt pro
CCV-03,Cargador cigarrero UNIVERSAL,23000,40000,3,volt pro
CM-01,Car magnetico,10000,20000,4,nulo
CM-02,Car magnetico mini,9800,23000,3,nulo
CM-01,Cargador multiple,5800,15000,10,nulo
AUS-01,Adaptador iphone-aux,6500,14000,5,nulo
AUS-02,Adaptador USB-TIPO C ,2500,8000,7,nulo
BP-01,Bateria portatil,85000,150000,2,nulo
MU-01,Memoria USB 32G,16000,25000,4,nulo
MU-02,Memoria USB 64G,16000,30000,6,nulo
MM-01,Micro memoria 4G,3500,6000,4,nulo
MM-02,Micro memoria 8G,4500,10000,1,nulo
MM-03,Micro memoria 16G,9000,18000,4,nulo
MM-04,Micro memoria 32G,16000,26000,1,nulo
MM-05,Micro memoria 64G,16000,30000,4,nulo
VDG-01,Vidrio hidrogel claro,3000,13000,47,nulo
VDG-02,Vidrio hidrogel mate,3000,15000,11,nulo
VDG-03,Vidrio hidrogel antiespias,5000,20000,18,nulo
HS-01,Audifonos estereo,18000,35000,5,volt pro
AP-01,Airpods pro,46000,80000,3,nulo
AP-02,Airpods,46000,80000,2,nulo
IP-01,Inpods,19000,40000,2,nulo
VV-01,funda silicona vivo Y51S,4500,15000,2,nulo
VV-02,funda silicona vivo Y28 4G,4500,15000,5,nulo
VV-03,funda silicona vivo Y20 Y20S Y11S,4500,15000,11,nulo
VV-04,funda silicona vivo Y36 4G,4500,15000,5,nulo
VV-05,funda silicona vivo Y38 5G,4500,15000,4,nulo
VV-06,funda vivo Y38 5G anticaídas,12000,25000,6,nulo
VV-07,funda vivo Y03 anticaídas,12000,25000,6,nulo
OP-01,Funda silicona Oppo RENO8,4500,15000,5,nulo
OP-02,Funda silicona Oppo RENO105G,4500,15000,8,nulo
OP-03,Funda silicona Oppo RENO 11 5G,4500,15000,8,nulo
OP-04,Funda silicona Oppo A38 4G,4500,15000,1,nulo
OP-05,Funda silicona Oppo A54 4G,4500,15000,2,nulo
OP-06,Funda silicona Oppo A57-A77 4G,4500,15000,2,nulo
OP-07,Funda silicona Oppo A58 4G,4500,15000,1,nulo
OP-08,Funda silicona Oppo A78 4G,4500,15000,10,nulo
OP-09,Funda silicona Oppo A79 5G,4500,15000,21,nulo
OP-10,Funda muñequitos Oppo A59 5G,10000,20000,5,nulo
OP-11,Funda muñequitos Oppo A79 5G,10000,20000,8,nulo
OP-12,Funda anticaídas Oppo A78 4G,12000,25000,3,nulo
MT-01,Funda silicona Motorola G04-04S/E14,4500,15000,3,nulo
MT-02,Funda silicona Motorola One Macro G8 Play,4500,15000,2,nulo
MT-03,Funda silicona Motorola G7 Power,4500,15000,13,nulo
MT-04,Funda silicona Motorola G8 Power,4500,15000,6,nulo
MT-05,Funda silicona Motorola G8 Powerline,4500,15000,10,nulo
MT-06,Funda silicona Motorola G9 Play,4500,15000,6,nulo
MT-07,Funda silicona Motorola G13/G23,4500,15000,3,nulo
MT-08,Funda silicona Motorola G15,4500,15000,5,nulo
MT-09,Funda silicona Motorola G20/G35,4500,15000,5,nulo
MT-10,Funda silicona Motorola G22,4500,15000,11,nulo
MT-11,Funda silicona Motorola G24/G4,4500,15000,9,nulo
MT-12,Funda silicona Motorola G31,4500,15000,6,nulo
MT-13,Funda silicona Motorola G32,4500,15000,5,nulo
MT-14,Funda silicona Motorola G34,4500,15000,8,nulo
MT-15,Funda silicona Motorola G35,4500,15000,6,nulo
MT-16,Funda silicona Motorola G42 4G,4500,15000,11,nulo
MT-17,Funda silicona Motorola G50,4500,15000,13,nulo
MT-18,Funda silicona Motorola G51,4500,15000,13,nulo
MT-19,Funda silicona Motorola G52,4500,15000,8,nulo
MT-20,Funda silicona Motorola G54,4500,15000,5,nulo
MT-21,Funda silicona Motorola G55,4500,15000,8,nulo
MT-22,Funda silicona Motorola G60/66S,4500,15000,12,nulo
MT-23,Funda silicona Motorola G60S,4500,15000,6,nulo
MT-24,Funda silicona Motorola G75,4500,15000,8,nulo
MT-25,Funda silicona Motorola G84,4500,15000,8,nulo
MT-26,Funda silicona Motorola G85,4500,15000,7,nulo
MT-27,Funda silicona Motorola E6s,4500,15000,1,nulo
MT-28,Funda silicona Motorola E7 2020,4500,15000,14,nulo
MT-29,Funda silicona Motorola E7,4500,15000,11,nulo
MT-30,Funda silicona Motorola E7 Power,4500,15000,23,nulo
MT-31,Funda silicona Motorola E13,4500,15000,1,nulo
MT-32,Funda silicona Motorola E20,4500,15000,12,nulo
MT-33,Funda silicona Motorola E22 4G/E22-I,4500,15000,2,nulo
MT-34,Funda silicona Motorola E30/E40,4500,15000,3,nulo
MT-35,Funda silicona Motorola E32,4500,15000,16,nulo
MT-36,Funda silicona Motorola One/P30 Play,4500,15000,13,nulo
MT-37,Funda silicona Motorola NOE Zoom,4500,15000,4,nulo
MT-38,Funda silicona Motorola One Hyper,4500,15000,12,nulo
MT-39,Funda silicona Motorola One Power,4500,15000,12,nulo
MT-40,Funda silicona Motorola Edge 50 Fusión,4500,15000,2,nulo
MT-41,Funda silicona Motorola Edge 40 Neo,4500,15000,8,nulo
MT-42,Funda de muñequitos Motorola G04,6000,15000,1,nulo
MT-43,Funda de muñequitos Motorola G10,6000,15000,7,nulo
MT-44,Funda de muñequitos Motorola G24,6000,15000,10,nulo
MT-45,Funda de muñequitos Motorola G34,6000,15000,5,nulo
MT-46,Funda de muñequitos Motorola G54,6000,15000,8,nulo
MT-47,Funda de muñequitos Motorola Edge 50 Fusión,6000,15000,4,nulo
MT-48,Funda anticaidas Motorola G24,12000,25000,3,nulo
SM-01,Funda Samsung A05 diseños,6000,15000,9,nulo
SM-02,Funda Samsung A05 Piedritas,10000,20000,6,nulo
SM-03,Funda Samsung A05S Diseños,6000,15000,4,nulo
SM-04,Funda Samsung A05S Anticaídas,12000,25000,6,nulo
SM-05,Funda Samsung A06 Diseños,6000,15000,5,nulo
SM-06,Funda Samsung A14 Diseños,6000,15000,2,nulo
SM-07,Funda Samsung A14 Piedritas,10000,20000,1,nulo
SM-08,Funda Samsung A15 Diseños,6000,15000,3,nulo
SM-09,Funda Samsung A16 Diseños,6000,15000,9,nulo
SM-10,Funda Samsung A21s Diseños,6000,15000,9,nulo
SM-11,Funda Samsung A25 Piedritas,10000,20000,3,nulo
SM-12,Funda Samsung A32 Piedritas,10000,20000,5,nulo
SM-13,Funda Samsung A34 Diseños,6000,15000,3,nulo
SM-14,Funda Samsung A34 Piedritas,10000,20000,6,nulo
SM-15,Funda Samsung A35 Diseños,6000,15000,9,nulo
SM-16,Funda Samsung A55 Diseños,6000,15000,18,nulo
SM-17,Funda Samsung A55 Piedritas,10000,20000,1,nulo
SM-18,Funda Samsung A59 anticaidas,12000,25000,7,nulo
SM-19,Funda Samsung S23 Diseños,12000,25000,8,nulo
SM-20,Funda Samsung S20 Diseños,7000,15000,1,nulo
SM-21,Funda Samsung S23 Ultra Diseños,12000,25000,2,nulo
SM-22,Funda Samsung S24 Ultra Anticaídas,12000,25000,4,nulo
SM-23,Funda Samsung S24 Diseños,12000,25000,3,nulo
SM-24,Funda Samsung S24 Ultra Diseños,12000,25000,3,nulo
SM-25,Funda Samsung S24 Plus Diseños,12000,25000,6,nulo
SM-26,Funda Samsung S24 FE Piedritas,10000,20000,3,nulo
RM-01,Funda Redmi Note 11 Diseños,6000,15000,4,nulo
RM-02,Funda Redmi Note 12 Diseños,6000,15000,9,nulo
RM-03,Funda Redmi Note 12 Pro Diseños,6000,15000,6,nulo
RM-04,Funda Redmi Note 13 Diseños,10000,18000,8,nulo
RM-05,Funda Redmi Note 13 Diseños,6000,15000,8,nulo
RM-06,Funda Redmi Note 13 Pro Diseños,10000,18000,6,nulo
RM-07,Funda Redmi Note 13 Pro Diseños,6000,15000,12,nulo
RM-08,Funda Redmi Note 13 Pro Piedritas,10000,20000,1,nulo
RM-09,Funda Redmi Note 13 Pro Diseños,10000,20000,3,nulo
RM-10,Funda Redmi Note 14 Pro Diseños,10000,15000,5,nulo
RM-11,Funda Redmi 14C Diseños,10000,18000,6,nulo
RM-12,Funda Redmi 14C Diseños,6000,15000,5,nulo
RM-13,Funda Redmi Note 13 Pro+ Diseños,10000,17000,2,nulo
RM-14,Funda Redmi Note 13 Pro Antichoque,12000,20000,5,nulo
RM-15,Funda Redmi Note 13 Pro Plus Piedritas,10000,20000,4,nulo
RM-16,Funda Redmi Note 13 Antichoque,12000,25000,6,nulo
RM-17,Funda Redmi Note 13 Piedritas,10000,20000,3,nulo
RM-18,Funda Redmi 13C Diseños,6000,15000,9,nulo
RM-19,Funda Redmi 10 Diseños,6000,15000,4,nulo
RM-20,Funda Redmi 10 Antichoque,12000,15000,1,nulo
LG-01,Funda de silicona LG-K61,4500,15000,8,nulo
ZF-01,Funda de silicona Z Flip 6,4500,15000,1,nulo
RA-01,Funda silicona realme C35,4500,15000,10,nulo
RA-02,Funda silicona realme C11,4500,15000,3,nulo
RA-03,Funda silicona realme 7,4500,15000,1,nulo
IX-01,Funda silicona INFINIX Hot 40 pro,4500,15000,1,nulo
IX-02,Funda silicona INFINIX Hot 50 pro,4500,15000,8,nulo
IX-03,Funda silicona INFINIX Hot 50 pro plus,4500,15000,6,nulo
